Englisch;German
you;du
i;Ich
the;das
to;An
a;ein
and;und
that;das
of;von
is;ist
in;in
what;was
we;wir
me;Ich
this;das
he;er
for;für
my;mein
on;auf
have;haben
your;dein
do;tun
was;war
no;Nein
not;nicht
be;sein
are;sind
don;Don
know;wissen
can;Dose
with;mit
but;aber
all;alle
so;Also
just;gerade
there;dort
here;hier
they;sie
like;mögen
get;Erhalten
she;sie
go;los
if;wenn
right;Rechts
out;aus
about;über
up;oben
at;bei
him;ihn
now;jetzt
oh;oh
one;Eins
come;kommen
well;Brunnen
her;ihr
how;wie
yeah;ja
will;Wille
got;bekam
want;wollen
think;denken
as;wie
see;Siehe
did;tat
good;gut
who;Wer
why;warum
from;Von
let;lassen
his;seine
yes;ja
when;wann
time;Zeit
an;ein
okay;Okay
back;Zurück
look;schauen
us;uns
would;würde
them;sie
where;wo
were;waren
take;nehmen
then;dann
had;hatte
or;oder
been;worden
our;unser
gonna;Werden
tell;erzählen
really;wirklich
man;Mann
some;einige
say;sagen
hey;Hallöchen
could;könnte
by;bis
need;benötigen
something;etwas
has;hat
too;auch
more;mehr
way;Weg
down;herab
make;machen
very;sehr
never;nie
only;nur
people;Volk
over;über
because;weil
little;klein
please;Bitte
love;Liebe
should;sollen
mean;bedeuten
said;besagte
sorry;Tut mir Leid
give;geben
off;aus
am;bin
thank;danken
any;jegliche
two;Zwei
even;Sogar
much;viel
doing;Tun
sure;sicher
thing;Ding
these;diese
help;Hilfe
first;erste
into;in
anything;irgendetwas
still;noch
find;finden
life;Leben
nothing;nichts
sir;Herr
day;Tag
god;Gott
work;Arbeit
their;ihr
uh;äh
again;wieder
maybe;vielleicht
must;muss
before;vor
other;andere
wait;Warte
stop;aufhören
call;rufen
after;nach
won;gewonnen
talk;sich unterhalten
away;weg
than;als
thought;Gedanke
home;Heim
night;Nacht
put;stellen
great;Großartig
those;jene
last;letzte
better;besser
everything;alles
told;gesagt
new;Neu
things;Dinge
always;immer
keep;behalten
long;lang
years;Jahre
leave;verlassen
does;tut
money;Geld
around;um
doesn;tut
name;Name
place;Ort
ever;jemals
feel;fühlen
guys;Kerle
father;Vater
guy;Kerl
made;hergestellt
old;alt
isn;Isn
which;welche
big;groß
lot;Los
done;fertig
hello;Hallo
nice;nett
believe;glauben
girl;Mädchen
someone;jemand
fine;fein
thanks;Danke
wanted;gewünscht
kind;Art
coming;kommend
house;Haus
every;jeder
ok;Okay
through;durch
being;sein
course;Kurs
stay;bleiben
left;Links
dad;Papa
enough;genug
happened;geschah
came;kamen
may;Mai
mother;Mutter
wrong;falsch
world;Welt
bad;schlecht
might;Macht
three;Drei
today;Heute
listen;zuhören
another;anderer
understand;Verstehe
hear;hören
remember;merken
ask;fragen
own;besitzen
same;gleich
show;zeigen
else;oder
kill;töten
talking;Sprechen
found;gründen
next;nächster
getting;erhalten
care;Sorge
car;Auto
looking;aussehend
son;Sohn
try;versuchen
woman;frau
went;gingen
hi;Hallo
dead;tot
many;viele
mind;Verstand
wasn;war
friend;Freund
best;bester
mom;Mama
hell;Hölle
morning;Morgen
trying;versuchend
boy;Junge
together;zusammen
yourself;dich
job;Arbeit
saw;Säge
family;Familie
real;wirklich
without;ohne
baby;Baby
room;Zimmer
wouldn;würde
already;schon
move;bewegen
most;höchst
seen;gesehen
live;leben
miss;Fräulein
actually;Tatsächlich
huh;hä
shit;Scheiße
both;beide
heard;gehört
once;einmal
ready;fertig
head;Kopf
called;gerufen
used;gebraucht
idea;Idee
knew;wusste
hold;halten
happy;glücklich
door;Tür
such;derartig
fuck;ficken
brother;Bruder
also;auch
pretty;hübsch
bit;Bit
took;nahm
haven;Zufluchtsort
yet;noch
men;Männer
whole;ganz
start;anfangen
use;gebrauchen
while;während
since;seit
wife;Ehefrau
days;Tage
guess;schätze
tomorrow;morgen
matter;Materie
meet;treffen
bring;bringen
tonight;heute abend
everyone;jeder
run;laufen
wanna;Möchte
hard;hart
ah;ah
alone;allein
myself;mich
school;Schule
gone;fort
um;ähm
end;Ende
saying;Sprichwort
phone;Telefon
play;spielen
looks;Aussehen
couldn;Konnten
fucking;verflucht
problem;Problem
few;wenige
friends;Freunde
gotta;Gotta
ago;vor
open;offen
anyone;irgendjemand
killed;getötet
hope;hoffen
face;Gesicht
until;bis
lost;verloren
police;Polizei
excuse;Entschuldigung
turn;drehen
business;Geschäft
case;Fall
wants;Bedürfnisse
says;sagt
TRUE;STIMMT
die;sterben
heart;Herz
soon;bald
each;jeder
worry;Sorge
later;später
year;Jahr
watch;Uhr
music;Musik
hand;Hand
having;haben
probably;wahrscheinlich
beautiful;Schön
doctor;Arzt
sit;sitzen
eat;essen
thinking;Denken
young;Jung
second;Sekunde
working;Arbeiten
water;Wasser
person;Person
part;Teil
kids;Kinder
late;spät
stuff;stopfen
exactly;genau
under;unter
death;Tod
minute;Minute
pay;bezahlen
crazy;verrückt
forget;vergessen
everybody;jeder
kid;Kind
change;Veränderung
gave;gab
happen;geschehen
damn;verdammt
five;Fünf
drink;trinken
far;fern
knows;kennt
its;sein
whatever;Wasauchimmer
eyes;Augen
shut;schließen
aren;aren
hit;schlagen
taking;Einnahme
easy;leicht
times;mal
check;prüfen
hands;Hände
minutes;Protokoll
deal;austeilen
different;Verschieden
means;Mittel
point;Punkt
inside;innerhalb
makes;macht
asked;gefragt
somebody;jemand
mine;mein
making;Herstellung
body;Körper
afraid;ängstlich
sleep;schlafen
chance;Zufall
dear;lieb
quite;ziemlich
four;Vier
anyway;jedenfalls
close;schließen
ain;Ain
party;Partei
fun;Spaß
against;gegen
word;Wort
comes;kommt
important;wichtig
set;Garnitur
shall;sollen
story;Geschichte
number;Zahl
daughter;Tochter
least;am wenigsten
waiting;Warten
hurt;schaden
wish;wünschen
moment;Moment
fight;kämpfen
week;Woche
husband;Ehemann
girls;Mädchen
rest;Ruhepause
married;verheiratet
fire;Feuer
game;Spiel
nobody;niemand
mr;Herr
children;Kinder
side;Seite
stand;stehen
read;lesen
though;obwohl
cut;schneiden
started;gestartet
sister;Schwester
supposed;vermeintlich
between;zwischen
child;Kind
goes;geht
hours;Stunden
speak;sprechen
women;Frauen
behind;hinter
almost;fast
truth;Wahrheit
blood;Blut
able;fähig
lady;Dame
anymore;überhaupt
playing;Spielen
gets;bekommt
shot;Schuss
reason;Grund
trouble;Schwierigkeit
break;brechen
war;Krieg
city;Stadt
walk;gehen
town;Stadt
trust;vertrauen
met;traf
office;Büro
question;Frage
brought;gebracht
yours;deins
welcome;Willkommen
high;Hoch
wow;Beeindruckend
couple;Paar
half;Hälfte
died;gestorben
cool;kühl
free;kostenlos
either;entweder
seems;scheint
power;Macht
whoa;Whoa
bye;Auf Wiedersehen
buy;kaufen
telling;verräterisch
honey;Honig
tried;erprobt
front;Vorder-
team;Mannschaft
answer;Antwort
gun;Waffe
boys;Jungen
line;Linie
send;Senden
news;Nachrichten
stupid;dumm
bed;Bett
hurry;eilen
full;voll
months;Monate
save;retten
sometimes;manchmal
become;werden
along;längs
hate;Hass
food;Essen
outside;außen
light;Licht
needs;Bedürfnisse
dog;Hund
country;Land
clear;klar
order;Bestellung
em;Em
fact;Tatsache
lord;Herr
captain;Kapitän
six;Sechs
hot;heiß
funny;komisch
black;schwarz
mrs.;Frau.
alive;lebendig
pick;picken
feeling;Gefühl
living;lebend
cause;verursachen
ahead;voran
lose;verlieren
king;König
plan;Plan
dinner;Abendessen
sighs;Seufzt
sort;sortieren
leaving;Abgang
shouldn;sollte
running;Ausgeführte
boss;Chef
alright;In Ordnung
promise;versprechen
taken;genommen
safe;sicher
ma;Mutti
book;Buch
sent;gesandt
white;weiß
hour;Stunde
anybody;irgendjemand
small;klein
perfect;perfekt
'cause;denn
lives;Leben
special;spezial
parents;Eltern
john;John
himself;sich
perhaps;vielleicht
sounds;erklingt
serious;ernst
sick;krank
company;Firma
scared;bange
uncle;Onkel
poor;Arm
red;rot
past;Vergangenheit
earth;Erde
possible;möglich
shoot;schießen
touch;Berühren
sound;Ton
top;Nach oben
ass;Esel
laughs;lacht
cannot;kann nicht
asking;fragend
win;gewinnen
glad;froh
control;Steuerung
hmm;Hmm
human;Mensch
drive;treiben
hair;Haar
jack;Bube
bitch;Hündin
luck;Glück
murder;Mord
happens;geschieht
air;Luft
ten;Zehn
daddy;Papa
finally;endlich
chuckles;Kichert
fast;schnell
cold;kalt
seem;scheinen
laughing;lachend
words;Wörter
hospital;Krankenhaus
street;Straße
hang;hängen
dance;tanzen
meeting;Treffen
till;bis
others;andere
catch;fangen
follow;folgen
sense;Sinn
sex;Sex
lie;liegen
evening;Abend
master;Meister
known;bekannt
dream;Traum
write;schreiben
million;Million
voice;Stimme
sweet;Süß
rather;eher
felt;Filz
sign;Zeichen
lucky;Glücklich
somewhere;irgendwo
bet;wetten
o;o
jesus;Jesus
longer;länger
calling;Berufung
worked;gearbeitet
quiet;ruhig
looked;ausgesehen
less;weniger
pull;ziehen
beat;schlagen
careful;vorsichtig
coffee;Kaffee
return;Rückgabe
secret;geheim
weeks;Wochen
weren;Weren
date;Datum
seeing;Sehen
fall;fallen
given;gegeben
ooh;Ooh
fault;Fehler
straight;gerade
takes;nimmt
song;Lied
future;Zukunft
gentlemen;Herren
loved;geliebt
changed;geändert
road;Straße
calm;ruhig
wonderful;wunderbar
mad;wütend
turned;drehte
drop;Tropfen
ladies;Damen
learn;lernen
step;Schritt
absolutely;absolut
early;früh
explain;erklären
clean;sauber
piece;Stück
